id,eng_name,thai_name,type,brand,model,serial,in/out,department,recorder,recorder_ch,ip,mac_address,status,account_no,image,map_id,x,y
N1C1202,Motorcycle_garage,"โรงจอดรถ ตะวันออก",Bullet,Hikvision,DS-2CD2027G1-L,L20201106AAWRF05200745,"Out door",2บุคคลฯ,N1,1202,192.168.0.213,,Active,N1C1202,,1,23.7400,55.1300
N1C2402,FN_auto,"บรรจุกล่อง Auto",Bullet,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929307,"In door",2แพคกิ้ง,N1,2402,192.168.20.27,,Active,N1C2402,,1,53.6100,33.7300
N1C802,lonry_mac,โรงซักผ้า,Bullet,Hikvision,DS-2CD2025FWD-I,I20190118AAWRC89463512,"In door",2บุคคลฯ,N1,802,192.168.20.9,,Active,N1C802,,1,46.1300,17.9700
N1C902,locker_room_pa,"ตู้ล๊อกเกอร์ แพคกิ้ง",Bullet,Hikvision,DS-2CD2025FWD-I,I20200824AAWRE73014076,"In door",2แพคกิ้ง,N1,902,192.168.20.10,,Active,N1C902,,1,47.2700,41.1800
C38.0960,C38.0960,คเชนทร์,UPS,APC,800,DS-2CD3021G0-I20240821AAWRFM4617274,"In door",2เทคโนโลยีสารสนเทศ,N4,302,,,Active,C38.0960,,1,53.5700,51.3200
N1C1702,GB_detector,"ตรวจสอบโลหะ GB",Bullet,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929273,"In door",2แพคกิ้ง,N1,1702,192.168.20.18,,Active,N1C1702,,1,50.4900,50.7500
CONNETTA51,CM1-CONNETTA51,CONNETTA51,Bullet,Hikvision,,,"In door",1แพคกิ้ง,,,,,Active,CONNETTA51,,13,88.7600,49.2300
N1C1902,receive_GB,"ตกเกรด GB",Bullet,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929353,"In door",2แพคกิ้ง,N1,1902,192.168.20.23,,Active,N1C1902,,1,52.0700,41.6200
N4C1702,font_packing,"ถนนหน้า แพคกิ้ง",Bullet,Hikvision,,,"Out door",2แพคกิ้ง,N4,1702,192.168.20.91,,Active,N4C1702,,1,46.3800,48.0200
PR72,CM1-PR72,PR72,Bullet,Hikvision,,,"In door",1ผลิต,,,,,Active,PR72,,13,,
D4C402,Chem1,"ห้องเขี่ยเชื้อ Lab",Bullet,Hikvision,,,"In door",2ห้องปฏิบัติการ,D4,402,192.168.20.204,,Active,D4C402,,4,26.8300,79.3400
N2C1802,Auto_F,"Auto F",Bullet,Hikvision,DS-2CD1023G2-LIU,DS-2CD1023G2-LIU20251117AAWRGK8163825,"In door",2แพคกิ้ง,N2,1802,192.168.20.12,,Active,N2C1802,,1,53.8200,34.7500
ST18,CM1-ST18,ST18,Bullet,Hikvision,,,"In door",1สโตร์ฯ,,,,,Active,ST18,,13,12.1900,85.8100
PA30,CM1-PA30,PA30,Bullet,Hikvision,,,"In door",1แพคกิ้ง,,,,,Active,PA30,,13,38.3100,58.9400
N1C3102,Newload_W,"ลานห้องเย็นใหม่ ตะวันตก",Bullet,Hikvision,DS-2CD3021G0-I,20240715AAWRFH4748741,"In door",2สโตร์ฯ,N1,3102,192.168.20.69,,Active,N1C3102,,1,35.8500,76.5500
N2C1102,Auto_B,"Auto B",Bullet,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929384,"In door",2แพคกิ้ง,N2,1102,192.168.20.40,,Active,N2C1102,,1,51.4200,34.6700
OS12,CM1-OS12,OS12,Bullet,Hikvision,,,"In door",1บุคคลฯ,,,,,Active,OS12,,13,20.8500,59.0100
RM66,CM1-RM66,RM66,Bullet,Hikvision,,,"In door",1รับวัตถุดิบ,,,,,Active,RM66,,13,64.7800,23.1200
N1C3202,New_engine_room,"ห้องเครื่อง โรงใหม่",Bullet,Hikvision,DS-2CD1023G0E-I,I20210228AAWRF59489439,"Out door",2เครื่องกล,N1,3202,192.168.20.70,,Active,N1C3202,,1,57.9900,72.9900
N1C2702,PA_hand-wash,"ล้างมือ แพคกิ้ง",Bullet,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929346,"In door",2แพคกิ้ง,N1,2702,192.168.20.24,,Active,N1C2702,,1,49.8600,36.9100
PR45,CM1-PR45,PR45,Bullet,Hikvision,,,"In door",1ผลิต,,,,,Active,PR45,,13,,
PR53,CM1-PR53,PR53,Bullet,Hikvision,,,"In door",1ผลิต,,,,,Active,PR53,,13,,
N3C1402,Check_bag_auto,"เช็คถุง Auto",Bullet,Hikvision,DS-2CD3021G0-I,DS-2CD3021G0-I20231201AAWRAX3842250,"In door",2แพคกิ้ง,N3,1402,192.168.20.60,,Active,N3C1402,,1,47.4800,45.2700
PR44,CM1-PR44,PR44,Bullet,Hikvision,,,"In door",1ผลิต,,,,,Active,PR44,,13,42.6200,43.5600
OS13,CM1-OS13,OS13,Bullet,Hikvision,,,"In door",1บุคคลฯ,,,,,Active,OS13,,13,4.8100,78.4400
N3C1002,larn_PR,ลานผลิต,Bullet,Hikvision,DS-2CD3021G0-I,DS-2CD3021G0-I20231211AAWRAX8234351,"In door",2ผลิต,N3,1002,192.168.20.52,,Active,N3C1002,,1,75.5900,36.1800
