asset_code,asset_name,holder,type,brand,model,serial,department,ip,mac_address,status,image,map_id,x,y
N3C1402,Check_bag_auto,"เช็คถุง Auto",Camera,Hikvision,DS-2CD3021G0-I,DS-2CD3021G0-I20231201AAWRAX3842250,2แพคกิ้ง,192.168.20.60,,Active,,1,47.4800,45.2700
PR44,CM1-PR44,PR44,Camera,Hikvision,,,1ผลิต,,,Active,,13,42.6200,43.5600
OS13,CM1-OS13,OS13,Camera,Hikvision,,,1บุคคลฯ,,,Active,,13,4.8100,78.4400
N3C1002,larn_PR,ลานผลิต,Camera,Hikvision,DS-2CD3021G0-I,DS-2CD3021G0-I20231211AAWRAX8234351,2ผลิต,192.168.20.52,,Active,,1,75.5900,36.1800
N2C1002,Auto_C," Auto C",Camera,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929319,2แพคกิ้ง,192.168.20.39,,Active,,1,52.4600,34.7100
N3C1502,Y_way_STL,"3 แยก บ่อบาดาล",Camera,Hikvision,DS-2CD3021G0-I,DS-2CD3021G0-I20231211AAWRAX8219184,2เครื่องกล,192.168.20.65,,Active,,1,47.0700,22.4100
N2C1502,Seal,"ซิล GB",Camera,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929374,2แพคกิ้ง,192.168.20.45,,Active,,1,50.5100,46.8300
PR40,CM1-PR40,PR40,Camera,Hikvision,,,1ผลิต,,,Active,,13,58.7800,49.0700
CONNETTA48,CM1-CONNETTA48,CONNETTA48,Camera,Hikvision,,,1แพคกิ้ง,,,Active,,13,85.2700,44.5200
N2C1602,GB_Weightier,"ชั่ง GB",Camera,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929377,2แพคกิ้ง,192.168.20.46,,Active,,1,50.5500,42.1400
RM61,CM1-RM61,RM61,Camera,Hikvision,,,1รับวัตถุดิบ,,,Active,,13,87.5700,20.3200
C38.0761,C38.0761,คเชนทร์,UPS,APC,800,DS-2CD3021G0-I20240821AAWRFM4617258,2เทคโนโลยีสารสนเทศ,,,Active,,1,53.8400,51.3300
RM69,CM1-RM69,RM69,Camera,Hikvision,,,1รับวัตถุดิบ,,,Active,,13,99.1100,34.9500
PA25,CM1-PA25,PA25,Camera,Hikvision,,,1แพคกิ้ง,,,Active,,13,40.0100,33.0300
PR55,CM1-PR55,PR55,Camera,Hikvision,,,1ผลิต,,,Active,,13,72.1900,42.3300
N4C1102,Chemical_PR,ห้องสารเคมีผลิต,Camera,Hikvision,,,2ผลิต,192.168.20.75,,Active,,1,78.6200,28.0300
N3C402,cutter_line_1,"สายพานไลน์ 1",Camera,Hikvision,DS-2CD3021G0-I,I20231211AAWRAX8234345,2ผลิต,192.168.20.51,,Active,,1,69.6700,31.7700
RM73,CM1-RM73,RM73,Camera,Hikvision,,,1รับวัตถุดิบ,,,Active,,13,98.6600,58.6100
ST15,CM1-ST15,ST15,Camera,Hikvision,,,1สโตร์ฯ,,,Active,,13,20.8800,87.8500
N4C702,CD5,"ห้องเย็น 5",Camera,Hikvision,,,2สโตร์ฯ,192.168.20.87,,Active,,1,60.3500,40.3300
N1C1602,Dry_store_warehouse,สโตร์แห้ง,Camera,Hikvision,DS-2CD1023G0E-I,I20210228AAWRF59489513,2สโตร์ฯ,192.168.20.17,,Active,,1,38.7500,18.1800
PR59,CM1-PR59,PR59,Camera,Hikvision,,,1ผลิต,,,Active,,13,53.7600,58.9500
ST19,CM1-ST19,ST19,Camera,Hikvision,,,1สโตร์ฯ,,,Active,,13,16.0400,77.1000
N2C102,Wash_line2,"ถังล้าง ไลน์ 2",Camera,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929269,2ผลิต,192.168.20.30,,Active,,1,63.2500,29.9400
PR38,CM1-PR38,PR38,Camera,Hikvision,,,1ผลิต,,,Active,,13,81.8600,37.9100
D4C302,Bio1,"ห้องเก็บเชื้อ Lab",Camera,Hikvision,,,2ห้องปฏิบัติการ,192.168.20.204,,Active,,4,14.8900,15.2100
RM64,CM1-RM64,RM64,Camera,Hikvision,,,1รับวัตถุดิบ,,,Active,,13,92.2000,23.2300
RM39,CM1-RM39,RM39,Camera,Hikvision,,,1รับวัตถุดิบ,,,Active,,13,96.3400,17.4200
PR42,CM1-PR42,PR42,Camera,Hikvision,,,1ผลิต,,,Active,,13,79.3500,63.3500
OS02,CM1-OS02,OS02,Camera,Hikvision,,,1บุคคลฯ,,,Active,,13,30.7100,13.3300
N2C302,IQF_line2,"IQF line 1",Camera,Hikvision,DS-2CD3021G0-I,I20230712AAWRAD6929370,2ผลิต,192.168.20.32,,Active,,1,56.7400,32.6200
